ranking,pais,ambos_sexo,ranking_masculino,masculino,ranking_femenino,femino
1,Guyana,30.2,3,46.6,5,14.2
2,Lesotho,28.9,25,22.7,1,32.6
3,Russia,26.5,1,48.3,31,7.5
4,Lithuania,25.7,2,47.5,37,6.7
5,Suriname,23.2,6,36.1,13,10.9
6,Cote d'Ivoire,23.0,8,32.0,8,13.0
7,Kazakhstan,22.8,4,40.1,28,7.7
8,Equatorial Guinea,22.0,9,31.3,15,10.8
9,Belarus,21.4,5,39.3,45,6.2
10,South Korea,20.2,11,29.6,11,11.6
11,Uganda,20.0,37,21.2,2,18.7
12,Cameroon,19.5,13,26.9,10,12.5
13,Zimbabwe,19.1,12,29.1,12,11.1
14,Ukraine,18.5,7,34.5,81,4.7
15,Nigeria,17.3,56,17.5,3,17.1
16,Latvia,17.2,10,31.0,71,5.1
17,Swaziland,16.7,17,25.4,17,9.6
18,Togo,16.6,25,22.7,13,10.9
19,India,16.5,46,18.5,4,14.5
19,Uruguay,16.5,14,26.8,34,7.1
21,Sierra Leone,16.1,50,18.2,5,14.2
22,Benin,15.7,27,22.6,17,9.6
22,Belgium,15.7,31,22.2,19,9.4
24,Chad,15.5,63,17.1,7,13.8
25,Kiribati,15.2,15,25.9,63,5.4
26,Cabo Verde,15.1,19,24.1,28,7.7
27,Burundi,15.0,24,23.1,28,7.7
28,Burkina Faso,14.8,28,22.4,20,9.1
29,Estonia,14.4,16,25.6,89,4.4
30,Japan,14.3,40,20.5,25,8.1
31,Sri Lanka,14.2,22,23.3,45,6.2
32,Finland,13.8,39,20.8,36,6.8
32,Eritrea,13.8,28,22.4,53,6.1
34,United States,13.7,38,21.1,42,6.4
35,Hungary,13.6,31,22.2,45,6.2
36,El Salvador,13.5,18,24.8,90,4.3
37,Liberia,13.4,87,13.8,8,13.0
37,Moldova,13.4,19,24.1,99,3.8
37,Poland,13.4,21,23.9,115,3.4
40,Iceland,13.3,34,21.7,81,4.7
40,Slovenia,13.3,28,22.4,88,4.5
40,Mongolia,13.3,22,23.3,99,3.8
43,Bolivia,12.9,64,16.9,21,8.9
43,Thailand,12.9,36,21.4,79,4.8
43,Trinidad and Tobago,12.9,33,21.9,90,4.3
46,South Africa,12.8,34,21.7,71,5.1
47,Haiti,12.2,48,18.3,42,6.4
48,France,12.1,52,17.9,40,6.5
49,Nicaragua,11.9,43,19.2,74,5.0
50,Senegal,11.8,41,20.3,68,5.2
51,Sweden,11.7,69,15.8,32,7.4
51,Australia,11.7,59,17.4,56,6.0
53,Bhutan,11.6,87,13.8,21,8.9
